Date,DSKY.ME,GAZP.ME,KMAZ.ME,RASP.ME,RUAL.ME,SBER.ME
09.12.2020,141.5,190.39999389648438,65.0,149.0,39.599998474121094,278.0199890136719
10.12.2020,138.02000427246094,193.0800018310547,63.70000076293945,149.27999877929688,39.904998779296875,280.8800048828125
11.12.2020,146.0,199.49000549316406,64.30000305175781,149.25999450683594,39.619998931884766,283.42999267578125
14.12.2020,145.36000061035156,199.50999450683594,63.900001525878906,147.5800018310547,39.88999938964844,279.3800048828125
15.12.2020,144.60000610351562,199.4199981689453,64.5999984741211,147.5800018310547,40.08000183105469,277.20001220703125
16.12.2020,145.44000244140625,205.60000610351562,64.5,148.3000030517578,39.939998626708984,278.20001220703125
17.12.2020,141.1199951171875,213.72999572753906,64.5,148.3000030517578,37.974998474121094,278.1199951171875
18.12.2020,135.33999633789062,213.47999572753906,64.19999694824219,148.6199951171875,36.5099983215332,270.29998779296875
21.12.2020,134.89999389648438,203.58999633789062,62.400001525878906,153.3000030517578,34.35499954223633,260.0799865722656
22.12.2020,137.6199951171875,209.42999267578125,64.19999694824219,154.47999572753906,35.97999954223633,262.8699951171875
23.12.2020,143.1199951171875,211.0500030517578,63.70000076293945,154.86000061035156,34.959999084472656,269.07000732421875
24.12.2020,145.05999755859375,205.13999938964844,62.79999923706055,155.77999877929688,34.70000076293945,268.8500061035156
25.12.2020,140.63999938964844,205.4600067138672,63.70000076293945,155.67999267578125,34.72999954223633,270.70001220703125
28.12.2020,139.47999572753906,205.91000366210938,64.0,154.5399932861328,35.654998779296875,274.5299987792969
29.12.2020,136.10000610351562,209.02000427246094,64.0,156.02000427246094,35.564998626708984,272.5400085449219
30.12.2020,135.6999969482422,212.3699951171875,64.69999694824219,155.77999877929688,35.29499816894531,270.6600036621094
04.01.2021,136.83999633789062,214.80999755859375,64.9000015258789,157.27999877929688,35.900001525878906,274.67999267578125
05.01.2021,136.17999267578125,214.35000610351562,65.0999984741211,156.5,36.88999938964844,273.5199890136719
06.01.2021,135.86000061035156,215.1999969482422,65.0,157.36000061035156,37.01499938964844,273.92999267578125
08.01.2021,135.86000061035156,215.1999969482422,65.0,157.36000061035156,37.01499938964844,273.92999267578125
11.01.2021,133.60000610351562,227.41000366210938,64.80000305175781,158.0,38.939998626708984,288.54998779296875
12.01.2021,132.05999755859375,227.92999267578125,64.9000015258789,156.77999877929688,38.45000076293945,288.32000732421875
13.01.2021,130.8800048828125,227.3699951171875,64.80000305175781,155.0,37.69499969482422,283.6099853515625
14.01.2021,130.9600067138672,228.80999755859375,64.69999694824219,158.0,38.0,284.19000244140625
15.01.2021,130.9199981689453,226.6300048828125,64.5999984741211,158.0,37.58000183105469,276.8699951171875
18.01.2021,132.02000427246094,227.69000244140625,64.9000015258789,155.82000732421875,37.4900016784668,279.79998779296875
19.01.2021,133.6199951171875,223.24000549316406,64.80000305175781,156.5399932861328,36.90999984741211,276.6499938964844
20.01.2021,137.63999938964844,224.27999877929688,64.5999984741211,156.72000122070312,37.45500183105469,278.55999755859375
21.01.2021,141.36000061035156,217.9199981689453,64.0999984741211,157.72000122070312,36.85499954223633,275.0299987792969
22.01.2021,141.9600067138672,214.69000244140625,63.20000076293945,156.0,36.25,267.8999938964844
25.01.2021,141.16000366210938,216.3800048828125,62.900001525878906,159.0800018310547,36.154998779296875,263.5400085449219
26.01.2021,142.6999969482422,218.1199951171875,63.79999923706055,164.02000427246094,36.029998779296875,267.94000244140625
27.01.2021,140.24000549316406,218.4199981689453,62.900001525878906,162.0,35.595001220703125,266.70001220703125
28.01.2021,141.36000061035156,217.75999450683594,62.599998474121094,162.0399932861328,35.52000045776367,265.44000244140625
29.01.2021,142.60000610351562,213.69000244140625,62.400001525878906,166.72000122070312,34.8849983215332,258.5400085449219
01.02.2021,139.27999877929688,213.16000366210938,62.400001525878906,167.0,35.150001525878906,262.2799987792969
02.02.2021,141.8000030517578,217.1300048828125,63.20000076293945,173.39999389648438,36.0,266.75
03.02.2021,140.16000366210938,217.5500030517578,62.79999923706055,178.52000427246094,35.540000915527344,261.8999938964844
04.02.2021,140.44000244140625,218.3300018310547,63.900001525878906,176.5399932861328,35.400001525878906,268.3399963378906
05.02.2021,140.67999267578125,221.41000366210938,63.5,176.25999450683594,35.34000015258789,271.2699890136719
08.02.2021,141.0800018310547,226.5399932861328,63.599998474121094,181.8000030517578,36.630001068115234,275.3900146484375
09.02.2021,142.39999389648438,226.74000549316406,63.29999923706055,179.83999633789062,37.2599983215332,267.9200134277344
10.02.2021,144.67999267578125,223.47000122070312,63.900001525878906,179.39999389648438,36.81999969482422,266.489990234375
11.02.2021,143.39999389648438,222.27999877929688,63.79999923706055,179.8000030517578,37.224998474121094,265.1400146484375
12.02.2021,143.9600067138672,226.47999572753906,63.29999923706055,179.10000610351562,36.650001525878906,264.8999938964844
15.02.2021,144.05999755859375,228.86000061035156,63.599998474121094,179.8000030517578,37.44499969482422,270.8999938964844
16.02.2021,143.9600067138672,232.0,63.599998474121094,178.1199951171875,37.33000183105469,270.739990234375
17.02.2021,144.3000030517578,227.2100067138672,63.5,178.1199951171875,38.28499984741211,268.8800048828125
18.02.2021,143.67999267578125,225.75999450683594,63.5,174.9199981689453,38.97999954223633,267.5400085449219
19.02.2021,144.82000732421875,225.97000122070312,63.099998474121094,178.44000244140625,40.630001068115234,271.8500061035156
22.02.2021,143.05999755859375,225.25999450683594,62.79999923706055,181.5,41.22999954223633,273.0
24.02.2021,139.63999938964844,221.67999267578125,62.79999923706055,185.60000610351562,39.5,270.9100036621094
25.02.2021,141.16000366210938,223.7100067138672,63.0,185.60000610351562,40.46500015258789,274.75
26.02.2021,141.17999267578125,218.6199951171875,62.20000076293945,181.39999389648438,38.96500015258789,270.1099853515625
01.03.2021,143.75999450683594,221.58999633789062,64.19999694824219,181.39999389648438,39.279998779296875,274.1300048828125
02.03.2021,143.83999633789062,222.5500030517578,64.80000305175781,182.0,39.540000915527344,279.0
03.03.2021,145.0,223.5,64.5999984741211,183.72000122070312,40.82500076293945,279.05999755859375
04.03.2021,143.10000610351562,225.72000122070312,64.30000305175781,180.63999938964844,40.125,280.3699951171875
05.03.2021,141.60000610351562,225.63999938964844,64.30000305175781,178.10000610351562,39.31999969482422,274.9599914550781
09.03.2021,136.36000061035156,232.24000549316406,64.5999984741211,181.4600067138672,39.814998626708984,284.95001220703125
10.03.2021,139.97999572753906,231.7899932861328,64.5999984741211,181.4600067138672,41.130001068115234,281.9800109863281
11.03.2021,139.4600067138672,231.88999938964844,64.5999984741211,182.55999755859375,43.33000183105469,285.7200012207031
12.03.2021,139.10000610351562,234.10000610351562,64.5999984741211,181.1999969482422,43.98500061035156,285.6499938964844
15.03.2021,136.47999572753906,236.38999938964844,65.0,189.1199951171875,45.80500030517578,291.3599853515625
16.03.2021,136.8000030517578,235.35000610351562,64.5999984741211,185.72000122070312,45.125,293.32000732421875
17.03.2021,134.5800018310547,228.33999633789062,65.0999984741211,183.3000030517578,44.45000076293945,281.3999938964844
18.03.2021,135.66000366210938,227.8800048828125,65.0,181.5,46.2599983215332,283.1499938964844
19.03.2021,135.6199951171875,224.52000427246094,65.5,181.5399932861328,46.41999816894531,284.29998779296875
22.03.2021,137.89999389648438,221.27999877929688,65.5,183.74000549316406,46.724998474121094,289.2099914550781
23.03.2021,136.55999755859375,223.32000732421875,64.5999984741211,183.02000427246094,46.3650016784668,282.95001220703125
